4352	RPOA1_HALS3|2.7.7.6	0.0e+00	4996	971	971	971	100.0
4352	RPOA1_HALSA|2.7.7.6	0.0e+00	4996	971	971	971	100.0
4352	RPOA1_METTH|2.7.7.6	2.0e-284	2517	971	870	934	53.6
4352	RPOA1_THECE|2.7.7.6	5.8e-279	2470	971	905	951	51.7
4352	RPOA1_HALMO|2.7.7.6	8.1e-140	1270	971	349	326	77.3
2734	COXX_SULIY|2.5.1.141	1.7e-146	1323	285	285	285	100.0
2734	COXX_SULIA|2.5.1.141	6.5e-146	1318	285	285	285	99.6
2734	COXX_SULIK|2.5.1.141	6.5e-146	1318	285	285	285	99.6
2734	COXX_SULIL|2.5.1.141	6.5e-146	1318	285	285	285	99.6
2734	COXX_SULIM|2.5.1.141	6.5e-146	1318	285	285	285	99.6
2734	COXX_SULIN|2.5.1.141	6.5e-146	1318	285	285	285	99.6
2734	COXX_SACS2|2.5.1.141	7.9e-136	1231	285	285	285	90.9
2734	COXX_SULTO|2.5.1.141	1.2e-80	755	285	301	289	59.2
2734	COXX_METS5|2.5.1.141	7.8e-75	705	285	285	284	56.7
2734	COXX_SULAC|2.5.1.141	1.5e-73	694	285	285	281	54.8
9	AGL14_HALVD|1.1.1.-	8.5e-173	1550	300	300	300	100.0
1018	FNO_ARCFU|1.5.1.40	1.7e-114	1046	212	212	212	100.0
6295	LYSK_SACS2|3.5.1.-	2.0e-194	1737	346	346	346	100.0
6295	LYSK_SULIL|3.5.1.-	2.3e-177	1590	346	346	345	91.0
6295	LYSK_SULIM|3.5.1.-	2.3e-177	1590	346	346	345	91.0
6295	LYSK_SULIY|3.5.1.-	2.3e-177	1590	346	346	345	91.0
6295	LYSK_SULIA|3.5.1.-	6.6e-177	1586	346	346	345	90.7
6295	LYSK_SULIK|3.5.1.-	6.6e-177	1586	346	346	345	90.7
6295	LYSK_SULIN|3.5.1.-	1.9e-176	1582	346	346	345	90.7
6295	LYSK_SULTO|3.5.1.-	1.2e-117	1075	346	346	345	59.1
6295	LYSK_SULAC|3.5.1.-	1.6e-98	910	346	346	347	52.4
3689	LYSZ_SACS2|2.7.2.-	7.6e-141	1274	264	264	264	100.0
3689	LYSZ_SULIA|2.7.2.-	9.0e-134	1213	264	264	264	92.4
3689	LYSZ_SULIK|2.7.2.-	9.0e-134	1213	264	264	264	92.4
3689	LYSZ_SULIL|2.7.2.-	9.0e-134	1213	264	264	264	92.4
3689	LYSZ_SULIM|2.7.2.-	9.0e-134	1213	264	264	264	92.4
3689	LYSZ_SULIY|2.7.2.-	9.0e-134	1213	264	264	264	92.4
3689	LYSZ_SULIN|2.7.2.-	4.5e-133	1207	264	264	264	92.0
3689	LYSZ_SULTO|2.7.2.-	5.9e-93	861	264	261	261	65.5
3689	LYSZ_METS5|2.7.2.-	1.3e-92	858	264	262	262	64.5
3689	LYSZ_SULAC|2.7.2.-	3.6e-90	837	264	261	261	63.6
5164	MRE11_SULAC|3.1.-.-	7.2e-217	1931	382	382	382	100.0
5164	MRE11_SULTO|3.1.-.-	2.0e-118	1082	382	387	382	56.5
5164	MRE11_SACS2|3.1.-.-	4.1e-95	881	382	381	382	50.5
1266	RSMA_HALS3|2.1.1.-	1.5e-158	1427	282	282	282	100.0
1266	RSMA_HALSA|2.1.1.-	1.5e-158	1427	282	282	282	100.0
1266	RSMA_HALMA|2.1.1.-	5.5e-97	896	282	285	275	65.1
1266	RSMA_HALWD|2.1.1.-	2.7e-96	890	282	296	268	66.8
1266	RSMA_NATPD|2.1.1.-	3.7e-93	863	282	274	272	64.0
5935	3MGH_METMJ|3.2.2.-	1.8e-107	985	192	192	192	100.0
7087	DAPAL_PYRNV|4.-.-.-	1.5e-172	1548	301	301	301	100.0
7087	DAPAL_PYRIL|4.-.-.-	1.7e-165	1487	301	301	301	94.7
7087	DAPAL_PYRAR|4.-.-.-	3.0e-157	1416	301	301	301	86.7
7087	DAPAL_PYRAE|4.-.-.-	1.1e-156	1411	301	301	301	86.7
6108	HTPX_PYRAB|3.4.24.-	8.0e-160	1438	289	289	289	100.0
6108	HTPX_PYRHO|3.4.24.-	3.6e-152	1372	289	289	289	93.1
